userId,movieId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,101,5.0,964980868
1,110,4.0,964982176
1,151,5.0,964984041
1,157,5.0,964984100
1,163,5.0,964983650
1,216,5.0,964981208
1,223,3.0,964980985
1,231,5.0,964981179
1,235,4.0,964980908
1,260,5.0,964981680
1,296,3.0,964982967
1,316,3.0,964982310
1,333,5.0,964981179
1,349,4.0,964982563
2,1,4.0,964982703
2,2,3.0,964981247
2,6,4.0,964982224
2,10,4.0,964983815
2,19,3.0,964982931
2,21,4.0,964982400
2,32,4.0,964980868
2,34,3.0,964982176
2,39,4.0,964984041
2,47,4.0,964984100
2,50,4.0,964983650
2,62,3.0,964981208
2,70,3.0,964980985
2,86,3.0,964981179
2,110,5.0,964980908
2,150,5.0,964981680
2,161,3.0,964982967
2,165,3.0,964982310
2,208,4.0,964981179
2,223,4.0,964982563
3,1,3.0,964982703
3,2,4.5,964981247
3,10,3.0,964982224
3,21,2.0,964983815
3,29,4.0,964982931
3,32,3.5,964982400
3,34,3.0,964980868
3,39,3.0,964982176
3,47,4.0,964984041
3,50,5.0,964984100
3,86,3.0,964983650
3,101,3.0,964981208
3,104,3.0,964980985
3,110,4.0,964981179
3,151,4.0,964980908
3,223,3.0,964981680
3,231,3.0,964982967
3,260,4.0,964982310
3,293,4.0,964981179
3,296,4.5,964982563
3,316,3.0,964982703
4,1,4.0,964982703
4,2,3.0,964981247
4,6,3.0,964982224
4,10,4.0,964983815
4,16,3.0,964982931
4,21,4.0,964982400
4,25,4.0,964980868
4,29,3.0,964982176
4,32,5.0,964984041
4,34,4.0,964984100
4,36,3.0,964983650
4,39,4.0,964981208
4,47,4.0,964980985
4,50,5.0,964981179
4,58,3.0,964980908
4,62,3.0,964981680
4,70,4.0,964982967
4,86,3.0,964982310
4,101,4.0,964981179
4,104,4.0,964982563
5,1,4.0,964982703
5,2,4.0,964981247
5,3,3.0,964982224
5,6,4.0,964983815
5,10,3.0,964982931
5,11,4.0,964982400
5,16,4.0,964980868
5,19,3.0,964982176
5,21,3.0,964984041
5,25,3.0,964984100
5,32,4.0,964983650
5,34,4.0,964981208
5,36,3.0,964980985
5,39,4.0,964981179
5,47,5.0,964980908
5,50,4.0,964981680
5,58,4.0,964982967
5,62,4.0,964982310
5,70,3.0,964981179
5,86,3.0,964982563
