timestamp,intersection_id,traffic_volume
2024-01-01 00:00:00,INT_001,79
2024-01-01 01:00:00,INT_001,72
2024-01-01 02:00:00,INT_001,70
2024-01-01 03:00:00,INT_001,68
2024-01-01 04:00:00,INT_001,96
2024-01-01 05:00:00,INT_001,91
2024-01-01 06:00:00,INT_001,254
2024-01-01 07:00:00,INT_001,620
2024-01-01 08:00:00,INT_001,646
2024-01-01 09:00:00,INT_001,610
2024-01-01 10:00:00,INT_001,252
2024-01-01 11:00:00,INT_001,245
2024-01-01 12:00:00,INT_001,406
2024-01-01 13:00:00,INT_001,465
2024-01-01 14:00:00,INT_001,465
2024-01-01 15:00:00,INT_001,275
2024-01-01 16:00:00,INT_001,237
2024-01-01 17:00:00,INT_001,715
2024-01-01 18:00:00,INT_001,652
2024-01-01 19:00:00,INT_001,679
2024-01-01 20:00:00,INT_001,223
2024-01-01 21:00:00,INT_001,239
2024-01-01 22:00:00,INT_001,63
2024-01-01 23:00:00,INT_001,74
2024-01-02 00:00:00,INT_001,88
2024-01-02 01:00:00,INT_001,41
2024-01-02 02:00:00,INT_001,82
2024-01-02 03:00:00,INT_001,98
2024-01-02 04:00:00,INT_001,49
2024-01-02 05:00:00,INT_001,130
2024-01-02 06:00:00,INT_001,251
2024-01-02 07:00:00,INT_001,637
2024-01-02 08:00:00,INT_001,619
2024-01-02 09:00:00,INT_001,635
2024-01-02 10:00:00,INT_001,250
2024-01-02 11:00:00,INT_001,217
2024-01-02 12:00:00,INT_001,450
2024-01-02 13:00:00,INT_001,401
2024-01-02 14:00:00,INT_001,425
2024-01-02 15:00:00,INT_001,268
2024-01-02 16:00:00,INT_001,256
2024-01-02 17:00:00,INT_001,725
2024-01-02 18:00:00,INT_001,707
2024-01-02 19:00:00,INT_001,711
2024-01-02 20:00:00,INT_001,261
2024-01-02 21:00:00,INT_001,256
2024-01-02 22:00:00,INT_001,54
2024-01-02 23:00:00,INT_001,87
2024-01-03 00:00:00,INT_001,94
2024-01-03 01:00:00,INT_001,82
2024-01-03 02:00:00,INT_001,65
2024-01-03 03:00:00,INT_001,87
2024-01-03 04:00:00,INT_001,101
2024-01-03 05:00:00,INT_001,62
2024-01-03 06:00:00,INT_001,261
2024-01-03 07:00:00,INT_001,637
2024-01-03 08:00:00,INT_001,614
2024-01-03 09:00:00,INT_001,608
2024-01-03 10:00:00,INT_001,263
2024-01-03 11:00:00,INT_001,246
2024-01-03 12:00:00,INT_001,429
2024-01-03 13:00:00,INT_001,450
2024-01-03 14:00:00,INT_001,439
2024-01-03 15:00:00,INT_001,267
2024-01-03 16:00:00,INT_001,219
2024-01-03 17:00:00,INT_001,726
2024-01-03 18:00:00,INT_001,714
2024-01-03 19:00:00,INT_001,677
2024-01-03 20:00:00,INT_001,274
2024-01-03 21:00:00,INT_001,268
2024-01-03 22:00:00,INT_001,68
2024-01-03 23:00:00,INT_001,30
2024-01-04 00:00:00,INT_001,86
2024-01-04 01:00:00,INT_001,87
2024-01-04 02:00:00,INT_001,90
2024-01-04 03:00:00,INT_001,75
2024-01-04 04:00:00,INT_001,71
2024-01-04 05:00:00,INT_001,71
2024-01-04 06:00:00,INT_001,232
2024-01-04 07:00:00,INT_001,595
2024-01-04 08:00:00,INT_001,608
2024-01-04 09:00:00,INT_001,607
2024-01-04 10:00:00,INT_001,235
2024-01-04 11:00:00,INT_001,252
2024-01-04 12:00:00,INT_001,422
2024-01-04 13:00:00,INT_001,457
2024-01-04 14:00:00,INT_001,430
2024-01-04 15:00:00,INT_001,266
2024-01-04 16:00:00,INT_001,218
2024-01-04 17:00:00,INT_001,710
2024-01-04 18:00:00,INT_001,714
2024-01-04 19:00:00,INT_001,701
2024-01-04 20:00:00,INT_001,242
2024-01-04 21:00:00,INT_001,261
2024-01-04 22:00:00,INT_001,75
2024-01-04 23:00:00,INT_001,90
2024-01-05 00:00:00,INT_001,83
2024-01-05 01:00:00,INT_001,47
2024-01-05 02:00:00,INT_001,40
2024-01-05 03:00:00,INT_001,81
2024-01-05 04:00:00,INT_001,39
2024-01-05 05:00:00,INT_001,65
2024-01-05 06:00:00,INT_001,262
2024-01-05 07:00:00,INT_001,626
2024-01-05 08:00:00,INT_001,595
2024-01-05 09:00:00,INT_001,630
2024-01-05 10:00:00,INT_001,273
2024-01-05 11:00:00,INT_001,249
2024-01-05 12:00:00,INT_001,466
2024-01-05 13:00:00,INT_001,434
2024-01-05 14:00:00,INT_001,446
2024-01-05 15:00:00,INT_001,236
2024-01-05 16:00:00,INT_001,262
2024-01-05 17:00:00,INT_001,723
2024-01-05 18:00:00,INT_001,713
2024-01-05 19:00:00,INT_001,717
2024-01-05 20:00:00,INT_001,244
2024-01-05 21:00:00,INT_001,234
2024-01-05 22:00:00,INT_001,96
2024-01-05 23:00:00,INT_001,84
2024-01-06 00:00:00,INT_001,75
2024-01-06 01:00:00,INT_001,6
2024-01-06 02:00:00,INT_001,53
2024-01-06 03:00:00,INT_001,32
